Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.4,0.4,0.5693409763387112
100% Corpus,9,0.4,0.7000000000000001,0.5405637893078865
100% Corpus,9,0.4,symmetric,0.5664406339781635
100% Corpus,9,0.7000000000000001,0.1,0.5636663322509545
100% Corpus,9,0.7000000000000001,0.4,0.5214619856132141
100% Corpus,9,0.7000000000000001,0.7000000000000001,0.5255900474192057
100% Corpus,9,0.7000000000000001,symmetric,0.5737748299661454
100% Corpus,9,symmetric,0.1,0.56155318154076
100% Corpus,9,symmetric,0.4,0.5812041940713938
100% Corpus,9,symmetric,0.7000000000000001,0.56819604133709
100% Corpus,9,symmetric,symmetric,0.5648065721210496
100% Corpus,9,asymmetric,0.1,0.5673368151778041
100% Corpus,9,asymmetric,0.4,0.5834338523490676
100% Corpus,9,asymmetric,0.7000000000000001,0.599801280580872
100% Corpus,9,asymmetric,symmetric,0.5743862039685291
